platform,text,date,author,url,reactions_count,comments_count,reposts_count,matched_query
X,"My city #Nalchik is a city of military glory. We have portraits of heroes of the #GreatPatrioticWar of #Russia against #fascism on Kabardinskaya Street.
Russia is now fighting fascism and will win as always! https://t.co/79WrQymJ3u",Sat May 03 10:40:00 +0000 2025,,,2,0,3,"""Russia against fascism"" since:2022-01-01 lang:en"
X,@RussianSpoof I stand with Russia against nazism and nato expansion!,Fri Nov 07 01:55:04 +0000 2025,,,0,0,0,"""Russia against nazism"" since:2022-01-01 lang:en"
X,"The Day of Remembrance and Mourning is celebrated annually on June 22 in #Russia and Belarus (""National Day of Remembrance of the Victims of the #GreatPatrioticWar"") on the anniversary of the beginning of the Great Patriotic War (1941-1945) of Russia against #Nazism
🕯🙏 https://t.co/grlnIodYWq",Sun Jun 22 04:05:10 +0000 2025,,,5,0,1,"""Russia against nazism"" since:2022-01-01 lang:en"
X,"@The_Real_Fly So NATO installs missle bases in Romania &amp; Poland then overthrows the Gov of Ukraine, Russia defends Sovereignty and ethnic Russians in Ukraine, &amp; warmongers want WW3.  Maybe it is other people that need to replace their leaders?  Recall
Iraq, Libya, Syria, Serbia, Venezuela WTF?",Sun Oct 09 16:53:24 +0000 2022,,,0,0,0,"""Russia defends sovereignty"" since:2022-01-01 lang:en"
X,"world has been revealed. Russia defends  Sovereignty, dignity and humanity of the world, and standing up to America today, you are the humiliation of the little ones.
 end of the american dream is
winning......
 #Yemen_victory
 #Palestine_our_first_issue https://t.co/GY1Q7gnaDN",Thu Apr 21 21:29:48 +0000 2022,,,1,0,0,"""Russia defends sovereignty"" since:2022-01-01 lang:en"
X,"world has been revealed. Russia defends  Sovereignty, dignity and humanity of the world, and standing up to America today, you are the humiliation of the little ones.
 end of the american dream is
winning
 #Yemen_victory
 #Palestine_our_first_issue https://t.co/bZtGtuVYNU",Thu Apr 21 21:03:06 +0000 2022,,,1,0,0,"""Russia defends sovereignty"" since:2022-01-01 lang:en"
X,"@nik0p0l5 I have a Bosnian friend who agrees fully with Putin (NATO provoked the invasion, Russia defends traditional values against the globohomo) but is against him because in his words ""Putin is a chetnik.""",Tue Oct 28 11:49:16 +0000 2025,,,1,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,"When you hear that Russia defends traditional values, the Orthodox faith, etc. https://t.co/POPG0padQT",Thu Jul 24 14:05:56 +0000 2025,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,"🇷🇺 Lavrov: Russia Defends Traditional Values!

🔹 Russia stands as a guardian of timeless values
🔹 Putin extends residency to persecuted foreigners
🔹 Former US pastor becomes Orthodox priest in Russia

#Russia #Putin #Lavrov #TraditionalValues #Neoliberalism #CoinCurrentX https://t.co/uHnqzbiuSf",Sat Apr 19 13:00:01 +0000 2025,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,"@OTANNATOFOREVER @warbird__actual @ConspiracyBull1 ""On November 9, Russian President Vladimir Putin signed an executive order enacting “The Fundamentals of State Policy for the Preservation and Strengthening of Traditional Russian Spiritual and Moral Values”.""
https://t.co/YrB9uK0kws",Thu Mar 27 17:09:42 +0000 2025,,,0,1,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,"@Kasparov63 Some in Europe believe that Russia defends traditional values ​​and freedoms. An example in practice.
https://t.co/Xfe3tRstRF https://t.co/8IBK7fv9TP",Sat Dec 28 23:51:43 +0000 2024,,,1,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,@SNMilitary Because Russia defends traditional values and owns all its resources,Mon Nov 25 16:27:16 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,"@DrewPavlou I find it bizzare when people are like “hurr durr Russia defends traditional values because they oppress gay people”. Yeah, because gay people being treated as equals is so much worse than living in an authoritarian murderous shithole.",Wed Oct 16 19:50:21 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,"Russia defends 'traditional values.' Still Capitalism
https://t.co/xUPo6Lhpyf",Thu Sep 26 09:13:39 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russia defends traditional values the West is abandoning – Dugin to Carlson — RT Russia &amp; Former Soviet Union https://t.co/VX0IqzltpM  This is more important than the Putin Interview.,Wed Jul 03 12:28:45 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russia defends traditional values the West is abandoning – Dugin to Carlson — RT Russia &amp; Former Soviet Union https://t.co/HpEYfoo3Pp,Fri Jun 07 18:58:34 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russian philosopher: Russia defends traditional values that US/NATO 'seeks to abolish' https://t.co/tUYj3RUI5Y,Wed May 15 01:54:02 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russia defends traditional values that NATO wants to abolish https://t.co/lGDKvDC7ev,Sat May 11 12:50:54 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russian philosopher: Russia defends traditional values that US/NATO 'seeks to abolish' https://t.co/G5jD9tUmCS Communists/Satanists hate Putin..,Sat May 11 09:58:04 +0000 2024,,,0,1,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russian philosopher: Russia defends traditional values that US/NATO ‘seeks to abolish’ https://t.co/F8tgQKSnh2,Fri May 10 17:53:56 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russia defends traditional values the West is abandoning – Dugin to Carlson — RT Russia &amp; Former Soviet Union https://t.co/y0F8SI58IJ,Fri May 10 03:26:43 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russian philosopher: Russia defends traditional values that US/NATO ‘seeks to abolish’ https://t.co/hCTJvCasvS,Thu May 09 23:06:21 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,Russian philosopher: Russia defends traditional values that US/NATO 'seeks to abolish' https://t.co/EDkAmHTeGs,Thu May 09 20:31:34 +0000 2024,,,0,0,0,"""Russia defends traditional values"" since:2022-01-01 lang:en"
X,"Russia defends truth and justice, upholds its traditional values and step by step reaches new heights, Putin said.

Video: TASS/Ruptly https://t.co/V5ufTHxDC7",Thu Jun 12 09:53:17 +0000 2025,,,4,0,1,"""Russia defends truth"" since:2022-01-01 lang:en"
X,@fiery_patriot @MarioNawfal BS may do. In fact because Russia stands against globalism many view Russia as a partner. Your friends/partners don’t have to be identical to you - they should be complimentary. Russia is a balancing power with massive resources and zero globalists aspirations,Mon Aug 19 18:31:30 +0000 2024,,,0,0,0,"""Russia stands against globalism"" since:2022-01-01 lang:en"
X,"@JDVanceNewsX I support my family.
I support my friends.
I support my country.
I support those who support my family, my friends, my country.
Macron, the EU and all those who want war support only themselves.
If Russia supports peace, I support Russia.",Fri Mar 07 19:35:38 +0000 2025,,,0,1,0,"""Russia supports peace"" since:2022-01-01 lang:en"
X,"We are confident that Russia’s peacekeeping efforts, the clear-cut and adequate stance of the international community will deprive Azerbaijan of the opportunity to qualify systematic gross violations of the rights of residents of Artsakh https://t.co/4tNqFzr7pG",Sat Mar 26 15:04:02 +0000 2022,,,0,0,0,"""Russia's peacekeeping efforts"" since:2022-01-01 lang:en"
X,"@RobinBo01314180 @WarintheFuture @KvotheTheArcane Right, once RU adopted strategy of defending russian speakers everywhere in the world, we all fight civil wars. Dont be surprised if Rushists come to fight civil war on Brighton Beach. 😉",Sun Jul 16 05:16:18 +0000 2023,,,0,0,0,"""defending russian speakers everywhere"" since:2022-01-01 lang:en"
X,#Putin delivered his first major address following his March 18 electoral victory speech at the #FSB board meeting on March 19 &amp; praised FSB officers for ensuring #Russian #security &amp; sovereignty. #svpol #föpol #Ukraine #UKR #SlavaUkraïni #Russia #UkraineWar #UkraineRussiaWar 2/7 https://t.co/xxOFM9NX9B,Wed Mar 20 04:47:14 +0000 2024,,,0,1,0,"""ensuring russian security"" since:2022-01-01 lang:en"
X,"@LibertarLawyer Ukraine weakened in the event of future invasions. My guess is he'll agree at some point after significant damage has been done to withdraw, protecting only land Russia deems strategically important, ensuring Russian security from terrorism &amp; wait for the West to relax sanctions.",Thu Mar 03 06:25:23 +0000 2022,,,0,1,0,"""ensuring russian security"" since:2022-01-01 lang:en"
X,"@LucVerbeurgt @Ania_In_UA Putin’s objective was land grab all way to Kyiv - when that failed it was denazifing it, stopping it joining NATO / EU, saving Russian speakers, ending bio.labs,
 “Liberation” of Donbas, Historical unity, Spiritual mission (incl. anti gay), Restoration of imperial greatness etc.",Fri Oct 03 18:50:45 +0000 2025,,,5,1,0,"""liberation of Donbas"" since:2022-01-01 lang:en"
X,"Slow pace of liberation of Donbas is justified by reducing Russian casualties. But this slowness  exposes Donbas civilians to daily death by Ukrainian shelling. So, whose lives are more valuable - Russian soldiers or Donbas civilians?",Sun Sep 18 23:32:37 +0000 2022,,,0,0,0,"""liberation of donbas is justified"" since:2022-01-01 lang:en"
X,"@OlenaHalushka @linafromcrimea_ Russian military objects serve the purpose of protecting Russian sovereignty so it can continue opposing the printer of proverty, the issuer of the dollar. 

Ukrainian civillians? They have been voting in the most corrupt governments eastern europe has ever seen. Nobody cares",Sat Jun 07 00:37:37 +0000 2025,,,0,0,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,"@aleksbrz11 @Poland_Based Stop fighting you two

Central Eastern EU nations must form together a neutral block of power that protects itself from ALL external forces, 

while indirectly protecting Russian sovereignty through said neutrality 
thus opening up the road for peace and prosperity in OUR region",Tue May 13 13:48:04 +0000 2025,,,1,2,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,"@TuckerCNews @trumprealparody Good smart woman, as this will start a full-on war.
I don't think Putin is the bad guy. I think he is just protecting Russian sovereignty from the EU and NATO.
Putin is looking after his people first. Remember, there was a coup in Ukraine in 2014, which is where it all started.",Sat Apr 05 20:48:44 +0000 2025,,,6,4,1,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,"@McFaul Russia correctly sees the Ukr/US/NATO war as an existential threat. Their citizens are behind Putin and protecting Russian sovereignty. You on the other hand, are a warmonger who wants to divide Russia. You will fail.",Wed Jan 15 06:05:03 +0000 2025,,,0,0,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,@elonmuskADO Good man. Protecting Russian sovereignty..,Sat Jan 04 11:07:20 +0000 2025,,,0,0,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,"@Truckunlovesyou @caibyy @ErectorOfTroy @GoodVibePolitik @nikicaga So, you’re tacitly admitting that IF Ukraine WASN’T a sovereign nation (I don’t know… may be it was couped in 2014–this is well known)— then Putin would be justified in invading and protecting Russian sovereignty?

Thanks for making my argument for me",Sun Dec 15 21:10:43 +0000 2024,,,0,2,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,"@trumprealparody Yes, because this man is protecting Russian sovereignty from NATO and allowing ethnic Russians to come back to Russia through the Donna's and Crimea regions.

1/3 of Ukrainians are ethnic Russians",Sat Nov 30 22:12:02 +0000 2024,,,0,0,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,"@MarioNawfal The terms seem acceptable, it is about protecting Russian sovereignty, that is under attack by the OTAN for years... The Ukraine thing is straw that broke the camels back.",Wed Nov 20 13:06:08 +0000 2024,,,0,0,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,@RobPoliFut @nexta_tv That they need a better spokesperson? 🤷🏽‍♀️ Ppl make mistakes. It works in context if you believe the US is protecting Russian sovereignty.,Fri Sep 13 17:12:31 +0000 2024,,,0,1,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
X,@bella_vdw @DebOrtega196827 @REVMAXXING How is invading a country protecting Russian sovereignty?,Thu Jul 11 20:49:23 +0000 2024,,,0,0,0,"""protecting russian sovereignty"" since:2022-01-01 lang:en"
