platform,text,date,author,url,reactions_count,comments_count,reposts_count
X,"@gtconway3d Trump has to get the job done for Putin, thats it.  has anyone ever seen a POTUS behave in such a biased way towards a Kremlin aggressor?",Tue Aug 19 01:47:53 +0000 2025,,,0,0,0
X,@JoaquinCastrotx You can't have PEACE when you apPEASE terrorists. It is the terrorist kremlin aggressor that has supplied North Korea and Iran terrorist regimes with technology for creating nukes. STOPPING russia is the only way to global peace and security. Cold war ended but moscow never did!!,Sun Jun 22 09:05:43 +0000 2025,,,0,0,0
X,@officejjsmart This is exactly how the Kremlin aggressor works.,Sun May 11 00:54:43 +0000 2025,,,4,0,1
X,"@markito0171 Finally. US regime is not fulfilling it's obligation along with the kremlin aggressor, regarding the safety of Ukraine. That's a blatant disregard of international law. Under such circumstances, there can be no so called ""deals"" by orange twat and his kremlin owner.",Fri Apr 25 10:38:56 +0000 2025,,,2,0,0
X,"@Heroiam_Slava Finally. US regime is not fulfilling it's obligation along with the kremlin aggressor, regarding the safety of Ukraine. That's a blatant disregard of international law. Under such circumstances, there can be no so called ""deals"" by orange twat and his kremlin owner.",Fri Apr 25 09:48:09 +0000 2025,,,2,0,0
X,"@Harri_Est @bereza251 @nytimes
Trump's chatter is nothing more than direct assistance to the Kremlin aggressor! This is an indelible disgrace for all of America. The mentally ill president is drowning America day after day, such scum have never been in power in the USA!",Tue Mar 04 19:11:23 +0000 2025,,,2,0,1
X,"@DonaldJTrumpJr The Coward in Chief, pandering to his Russian paymaster Putin by bullying the President of an ally, invaded by the Kremlin aggressor! Probably the most shameful way I’ve seen a POTUS conduct themselves in the oval office ever. A very dark day for America !",Sun Mar 02 11:25:02 +0000 2025,,,0,0,0
X,"@EP_President @Europarl_EN @Europarl_FR @Europarl_UA The USA, as one of the guarantors of security, should protect Ukraine from the Kremlin aggressor of the Russian Federation, and not vice versa, help in the fight against the occupier, and not put economic pressure on Ukraine, which has been bleeding for 10 years 😰😰🇺🇦🇺🇦🙏🙏",Sun Feb 23 22:00:52 +0000 2025,,,0,0,0
X,@tweet4Anna_NAFO @visegrad24 And the winner of ongoing conflict (formerly known as genozid of kremlin aggressor clique to save his power and stop democracy @ any boarders) is : Peking https://t.co/evgSClGhKm,Mon Feb 17 17:44:26 +0000 2025,,,0,1,0
X,"@Mick_O_Keeffe @vonderleyen I am a European, and I am glad that for my funds go to fight the Kremlin aggressor. Russia is the greatest enemy of freedom for the civilized world, no question about it",Sat Jan 11 10:09:23 +0000 2025,,,1,0,0
X,"#UKRAINE CURRENT No. 1337 (10/21/25)
Child abduction confessed
No meeting between Trump and Putin
Kremlin: Ceasefire NO!
Kremlin: Surrender YES!
US spokeswoman without answer
Ukraine as a nuclear power (1994)
Europe's 12-point program
Switzerland pays €350 million https://t.co/LHl4AzQ611",Tue Oct 21 19:31:06 +0000 2025,,,0,0,0
X,"To Pr. #VladimirPutin,
Your Excellency,
What do you think about my multilateral approach, which guarantees an honorable end to the conflict for both warring nations through a constructive &amp; lasting peace?
May you live long.
Sincelery om
#Kremlin #ceasefire #Russia #Ukraine @POTUS https://t.co/IoEYaCiZYK",Mon Oct 06 09:21:01 +0000 2025,,,0,0,0
X,"To date,No multilateral proposal aimed at defusing the conflict &amp; restoring #peace has been presented to the #Kremlin that would have prompted it to refer the matter to the Constitutional Court,1/2
🌐https://t.co/qY9n3jBV79
@kadmitriev #VladimirPutin #Putin @UNGeneva @POTUS #UNSC",Mon Oct 06 08:55:03 +0000 2025,,,2,1,1
X,"And put an end to the fratricidal war that has been raging for three years and is preventing the whole world from looking positively toward the future.2/2
@mfa_russia #Lavrov @NobelPrize #VladimirPutin #Putin #nukes
@EmmanuelMacron #NATO #Kremlin #ceasefire #FTZ @MFA_Ukraine @AFP https://t.co/YiuqxZO3Va",Mon Sep 22 13:20:20 +0000 2025,,,0,0,0
X,"‼️[🇺🇸USA | 🇷🇺 RUSSIA] 

Donald Trump's special envoy, Steve Witkoff, met with Vladimir Putin this morning at the Kremlin, just days before the end of the US ultimatum for a ceasefire in Ukraine.
#Ukraine #Russia #Kremlin #ceasefire https://t.co/XDZXkUVhk6",Wed Aug 06 10:39:31 +0000 2025,,,2,0,0
X,"Free trade zones or cantons with privileged relations with #Russia remain the best option for regions that have suffered the destruction &amp; exile of their inhabitants.
Let's build a lasting, dignified &amp; just #peace.
@POTUS #Zelensky #Kremlin #ceasefire #Macron #CTBT #VladimirPutin https://t.co/6HPg1GVHFA",Fri Jul 04 07:34:27 +0000 2025,,,0,0,1
X,"You can’t dehumanize a people and then expect the world to see you as righteous.

Diggs  Kremlin

Ceasefire
Resign Globalist Spencer Soliman William #MIvsPBKS #WyboryPrezydenckie2025 #Vaundy_CDTVThe UN Diaz",Mon Jun 02 21:30:12 +0000 2025,,,1,0,0
X,"That the Temporality of #RussianUkrainianPeace &amp; #RussoEuroAtlantic strategic détente is in his hands.
I would be honored to meet him to talk about it.
I will travel to #Moscow at my own expense.
🌐https://t.co/4wtn3ltKGv

#BREAKING @POTUS #VladimirPutin #UNSC #Kremlin #ceasefire",Fri May 16 19:55:28 +0000 2025,,,0,0,1
X,"If You had the chance to say something to President Putin, what would You say? https://t.co/IrPbxVDKVq",Fri May 16 18:57:28 +0000 2025,,,1234,831,140
X,#Trump President Putin #TrumpRecession #MAGA #Trumpstopthewar Kremlin #ceasefire #China #Tariffs  #MAGAMorons Pakistan Kasmir India-Pakistan #MAGACultMorons Bangladesh #Trump2028 Moms #MothersDay2025 The West #motherslove Kiev Kyiv #MothersDay Istanbul #IndianArmy Times #Pakistan,Sun May 11 14:07:36 +0000 2025,,,10,1,6
X,"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
The Chinese delegation has just walked out of the trade negotiations with the USA in Geneva. https://t.co/6gyPqBhei3",Sat May 10 12:12:42 +0000 2025,,,18874,1109,4294
X,#Trump President Putin #TrumpRecession Gestapo #Trumpstopthewar Kremlin #ceasefire Proud Boys #MAGAMorons Pakistan Kasmir India-Pakistan #MAGACultMorons Bangladesh #Trump2028 Moms #MothersDay2025 The West #motherslove Kiev Kyiv #MothersDay Istanbul #IndianArmy Times #Pakistan https://t.co/t7dJzDbW4s,Sun May 11 14:04:59 +0000 2025,,,7,2,3
X,"#BREAKING:
🇷🇺🇺🇦⚡️ Russia’s three-day #ceasefire has officially concluded. President Vladimir 

➡️ #Putin is expected to deliver a significant statement shortly, with the Kremlin fully prepared for the upcoming press conference.

@Kremlin #ceasefire #Russia #Ukraine",Sat May 10 21:34:05 +0000 2025,,,0,0,0
X,"🇷🇺- Vladimir Putin held a meeting with senior officials, according to the Kremlin.

#ceasefire @ikadotxyz",Sat May 10 20:10:33 +0000 2025,,,0,0,0
X,"🇷🇺- BREAKING: ""Putin to make an announcement,"" - The Kremlin.

#ceasefire @ikadotxyz",Sat May 10 20:09:46 +0000 2025,,,1,0,0
X,"🇷🇺🇺🇦- ""A ceasefire should begin on May 12 for at least 30 days. We demand this from Russia,"" - Volodymyr Zelensky, Ukrainian President, after the joint call between Zelensky, Trump, Starmer, Macron, Merz and Tusk.

#RussiaUkraineWar #CeasefireNow https://t.co/KlcYlxlGgn",Sat May 10 13:12:15 +0000 2025,,,1,0,0
