platform,text,date,author,url,reactions_count,comments_count,reposts_count
X,Video: Clash Report,Sat Nov 08 13:18:08 +0000 2025,,,0,0,0
X,"Operation Sindoor 'not finished' — India's Defense Minister Rajnath Singh

The operation was first launched in response to terror threats on the Pakistan border https://t.co/C7eq3lp4Cr",Sat Nov 08 13:18:07 +0000 2025,,,3,1,1
X,"India's Defense Minister Rajnath Singh wants their fighter jets engines built in India

'We will make it on Indian soil by Indian hands'

By law all arms purchased by India must be AT LEAST 50% Indian owned — that's called independence https://t.co/K4EP98d0yk",Sat Nov 08 13:15:05 +0000 2025,,,7,2,3
X,Video: Clash Report,Sat Nov 08 13:15:08 +0000 2025,,,0,0,0
X,"THROWBACK: 

Just a few months ago, Mexican newspapers were reporting that drug cartels are sending their hitmen to UKRAINE to receive drone training 

The Ukrainian army is very willing to share its expertise in exchange for warm bodies 

Trouble is returning to the Americas https://t.co/HLMz0oQT1H",Sat Nov 08 13:04:42 +0000 2025,,,18,0,11
X,"Cartel DRONE OPERATORS arm UAV with explosives in Mexico's central Sinaloa

No safety measures in sight https://t.co/ktPZNEgnGa",Sat Nov 08 12:59:13 +0000 2025,,,17,4,7
X,Footage from PopularFront_,Sat Nov 08 12:59:22 +0000 2025,,,6,0,1
X,"🎈 Convicted MURDERER elected to City Council in town that inspired Stephen King's 'It'

Angela Walker suffocated a Canadian tourist after he made a slur about her Native American heritage 

Now she's a leader in Bangor, Maine

'I'm a different person now, that's the past' https://t.co/FWrlqpKkL9",Sat Nov 08 12:46:10 +0000 2025,,,25,5,10
X,"Bus driver loses control and almost KILLS four people in Irkutsk region

Luckily no one was injured https://t.co/eI8t1nhnEB",Sat Nov 08 12:34:00 +0000 2025,,,20,2,4
X,"'I'm more famous in the US than Taylor Swift!'

As the US plays war games near Venezuela, Maduro jokes about 'recording an album'

He's in the spotlight of the US Military, can Maduro 'shake it off'? https://t.co/QVFnXmyBXF",Sat Nov 08 12:27:19 +0000 2025,,,58,1,19
X,"The North–South Transport Corridor connects the Baltic to the Indian Ocean

7,000 km shorter than Suez, faster, cheaper, immune to Western sanctions

From St. Petersburg to Mumbai without ever touching hostile waters — true multipolarity is taking shape https://t.co/k1v8EM1kSD",Sat Nov 08 12:23:30 +0000 2025,,,59,2,12
X,"Russia &amp; Iran just discussed opening a new container line linking Makhachkala in Dagestan with Iranian ports

The Caspian route grows stronger

Next step: a shipping consortium to unite Russian &amp; Iranian fleets under one trade flag? https://t.co/5hENHaNA35",Sat Nov 08 12:21:22 +0000 2025,,,41,1,7
X,"🇷🇺🇮🇷 The first Russian freight train to IRAN has arrived: 62 containers from Moscow, through Kazakhstan &amp; Turkmenistan

Now rolling into the Persian Gulf corridor

12 days, 9,000 km — the North–South Transport Corridor is already running hot https://t.co/Pj5aPhuy4r",Sat Nov 08 12:19:34 +0000 2025,,,172,9,37
X,"SHE will decide what you’re allowed to know

Ursula von der Leyen unveils an EU 'Centre for Democratic Resilience' as part of her new 'Democracy Shield' agenda to fight 'disinformation'

A Brussels-run Ministry of Truth — the Empire of Lies opens a new branch office https://t.co/czEmIQpH8l",Sat Nov 08 12:09:08 +0000 2025,,,39,8,14
X,"NYC Mayor-elect Zohran Mamdani attends mosque for Friday Islamic prayer 

'Focus on the words of Prophet Muhammad! Spread good tidings!' https://t.co/1BXP6IVtfu",Sat Nov 08 11:49:10 +0000 2025,,,44,9,16
X,"Commandos from Turkish Armed Forces also took part in the Azerbaijan Victory Day Parade

With President Erdogan looking on from the tribune https://t.co/mzUetPCYif",Sat Nov 08 11:46:06 +0000 2025,,,23,0,5
X,"Baku shows off its military might at 5th anniversary of Azerbaijan’s victory in the Second Nagorno-Karabakh War 

The large-scale parade introduced a new branch of unmanned systems troops https://t.co/NNcum1TDXe",Sat Nov 08 11:41:40 +0000 2025,,,21,2,7
X,"‘This is a 1939 moment’ – US Defense chief Hegseth says, comparing today's global tensions to the precipice of WWII

‘Or hopefully a 1981 moment – a moment of mounting urgency’ https://t.co/ay9V3ceYJs",Sat Nov 08 11:30:51 +0000 2025,,,22,8,5
X,Video: Russian MoD,Sat Nov 08 11:15:41 +0000 2025,,,9,0,1
X,"Russian forces PUSH into the island zone of the Kherson region 

They destroy Ukrainian UAV equipment with their FAGOT 9K111

Now time for a cigarette break https://t.co/5m7oOaSpZ1",Sat Nov 08 11:15:40 +0000 2025,,,81,4,13
X,"This week on Mars

Rocky hills stretch out as far as the eye can see

With a soft yellow glow of the Martian sky enveloping the Jezero Crater

Stay tuned for more from the Perseverance rover https://t.co/RUh3rJko2n",Sat Nov 08 11:10:47 +0000 2025,,,35,4,6
